date;close;open;maximo;minimo;variacion;anterior;predictions
03-05-01;601.85;602.2;603.45;601.2;-0.0008;602.35;602.268.804.344.324
04-05-01;602.05;601.7;602.4;600.15;0.0003;601.85;6.039.297.094.194.320
07-05-01;600.55;601.9;602.1;599.4;-0.0025;602.05;604.396.250.186.887
08-05-01;602.15;600.4;602.35;600.4;0.0027;600.55;5.999.799.044.802.070
09-05-01;602.45;602.0;605.15;602.0;0.0005;602.15;6.027.857.043.881.980
10-05-01;602.65;602.5;603.25;601.6;0.0003;602.45;6.012.870.701.626.920
11-05-01;604.2;602.5;604.35;602.4;0.0026;602.65;6.033.888.339.901.200
14-05-01;604.45;604.1;605.95;604.1;0.0004;604.2;605.341.702.100.559
15-05-01;605.95;604.3;606.5;604.1;0.0025;604.45;6.043.122.744.489.870
16-05-01;606.95;605.8;607.05;604.5;0.0017000000000000001;605.95;6.064.012.914.257.420
17-05-01;607.05;606.85;607.35;606.0;0.0002;606.95;6.059.662.898.740.440
18-05-01;607.3;606.8;607.35;605.6;0.0004;607.05;6.071.944.019.011.090
21-05-01;607.3;607.15;607.3;607.15;0.0;607.3;6.076.183.568.317.210
22-05-01;604.95;607.15;607.4;604.7;-0.0039000000000000003;607.3;6.076.342.940.408.850
23-05-01;605.5;604.8;606.55;604.75;0.0009;604.95;6.051.017.000.925.730
