date,close,open,maximo,minimo,variacion,anterior,predictions
2000-04-06,505.15,505.4,506.15,504.7,-0.0012,505.75,506.3327921775268
2000-04-07,505.75,505.1,506.05,504.55,0.0012,505.15,505.3227679580628
2000-04-10,505.05,505.5,505.85,504.7,-0.0014000000000000002,505.75,506.3782840300661
2000-04-11,505.45,505.4,506.05,505.0,0.0008,505.05,504.62299170456276
2000-04-12,505.35,505.1,505.75,504.7,-0.0002,505.45,507.0180392138738
2000-04-13,505.35,505.7,505.9,505.05,0.0,505.35,503.65721127512353
2000-04-14,510.15,506.8,510.55,506.6,0.0095,505.35,506.55587625873414
2000-04-17,514.65,511.75,515.65,511.75,0.0088,510.15,510.5029308225526
2000-04-18,508.95,512.3,513.25,508.7,-0.0111,514.65,517.7287129462449
2000-04-19,509.15,508.2,509.15,506.0,0.0004,508.95,506.97662965233513
2000-04-20,510.25,509.9,511.5,509.4,0.0022,509.15,508.98563524220623
2000-04-24,512.15,512.45,514.55,510.9,0.0037,510.25,513.3752603048064
2000-04-25,512.95,510.5,514.15,510.5,0.0016,512.15,514.3701526382913
2000-04-26,514.35,513.1,515.15,512.9,0.0027,512.95,510.6083200125198
2000-04-27,514.85,516.6,516.85,514.2,0.001,514.35,514.6561716832782
2000-04-28,515.25,514.8,515.85,514.5,0.0008,514.85,514.3912775217096
2000-05-02,513.65,514.85,515.15,513.3,-0.0031,515.25,517.6913277613264
2000-05-03,516.75,515.1,516.95,514.8,0.006,513.65,515.3615164626159
2000-05-04,517.65,517.3,519.0,516.7,0.0017000000000000001,516.75,515.5944964985325
2000-05-05,519.55,519.6,519.8,518.0,0.0037,517.65,516.9416365744659
2000-05-08,522.75,520.4,523.95,520.3,0.0062,519.55,518.1369278293556
2000-05-09,522.55,523.5,524.85,522.2,-0.0004,522.75,521.4825855907169
2000-05-10,526.15,525.9,526.7,525.3,0.0069,522.55,522.9536067146654
2000-05-11,522.75,525.1,525.25,522.2,-0.006500000000000001,526.15,524.7900318861706
2000-05-12,520.85,519.1,521.05,519.0,-0.0036,522.75,523.2586340035455
2000-05-15,517.85,522.25,523.55,516.0,-0.0058,520.85,521.8872311852243
2000-05-16,517.45,516.1,517.75,514.8,-0.0008,517.85,520.6257109464642
2000-05-17,519.95,519.6,520.95,519.0,0.0048,517.45,519.5212516435704
2000-05-18,520.95,520.5,521.5,519.5,0.0019,519.95,519.4254161894191
2000-05-19,523.95,523.0,524.55,520.9,0.0058,520.95,522.1213251559792
2000-05-22,525.45,524.3,525.85,524.3,0.0029,523.95,525.5366296455829
2000-05-23,524.85,524.7,525.45,523.3,-0.0011,525.45,526.5005439789091
2000-05-24,526.35,524.7,526.45,524.7,0.0029,524.85,528.1245773000032
2000-05-25,525.5,524.5,525.85,524.1,-0.0016,526.35,524.2028085897933
2000-05-26,523.95,526.3,526.55,523.0,-0.0029,525.5,525.157725077426
2000-05-29,525.85,523.2,526.35,523.2,0.0036,523.95,523.8785891779003
2000-05-30,524.95,525.0,525.25,523.4,-0.0017000000000000001,525.85,525.8387718956055
2000-05-31,524.25,524.4,525.45,523.05,-0.0013,524.95,527.8003460154437
2000-06-01,522.65,523.3,523.9,521.7,-0.0031,524.25,523.3815005351731
2000-06-02,519.45,519.5,520.55,519.1,-0.0060999999999999995,522.65,523.0018293379828
